ROMANIAN	FRENCH	ITALIAN	SPANISH	PORTUGUESE	LATIN-CORRECT
aculeu	églantier	aculeo	acúleo	acúleo	aculeum
-	-	acume	acumen	-	acu:men
-	-	acuminare	-	acuminar	acu:mina:re
ac	-	ago	-	-	acum
-	-	-	adecuación	-	adaequa:tio:nem
-	-	-	adecuar	-	adaequa:re
diamant	aimant	adamante	adamante	adamante	adamantem
-	-	-	adamar	-	adama:re
adăuga	-	-	-	-	adauge:re
-	-	addecimare	-	-	addecima:re
-	-	addire	adicar	-	addi:cere
adicție	addiction	-	adicción	adicção	addictio:nem
-	addict	addetto	adicto	adicto	addictum
-	-	-	aditamento	aditamento	addita:mentum
-	addition	addizione	adición	adição	additio:nem
-	-	-	adir	adir	addere
adormi	-	addormire	adormir	adormir	addormi:re
-	-	-	adormecer	adormecer	addormi:scere
-	-	adire	adir	-	adi:re
-	-	adespoto	-	-	adespoton
-	-	addiaccio	-	-	adiace:re
-	-	-	-	adianto	adiantum
-	-	adipe	-	ádipe	adipem
-	-	adito	-	ádito	aditum
-	adjudication	aggiudicazione	adjudicación	adjudicação	adiu:dica:tio:nem
adjudeca	adjuger	aggiudicare	adjudicar	adjudicar	adiu:dica:re
-	adjonction	aggiunzione	-	adjunção	adiunctio:nem
-	-	aggiunto	adjunto	adjunto	adiunctum
ajunge	adjoindre	aggiungere	-	adjungir	adiungere
-	adjuration	-	-	adjuração	adiu:ra:tio:nem
-	-	-	-	adjurador	adiu:ra:to:rem
-	adjurer	-	-	-	adiu:ra:re
ajutor	-	-	-	-	adiu:to:rium
-	-	adiuvare	-	-	adiuva:re
-	-	-	adminículo	adminículo	adminiculum
-	administrer	amministrare	administrar	administrar	administra:re
admirabil	admirable	ammirabile	admirable	-	admi:ra:bilem
-	-	-	-	admirabilidade	admi:ra:bilita:tem
-	-	-	-	admirador	admi:ra:to:rem
-	-	-	-	admissor	admisso:rem
-	admonester	ammonire	amonestar	admoestar	admone:re
-	admonition	ammonizione	admonición	admonição	admonitio:nem
-	-	annodare	-	-	adno:da:re
-	-	annuire	anuir	anuir	adnuere
adia	-	-	-	-	adole:re
-	-	-	-	adolescer	adole:scere
-	adoration	adorazione	adoración	adoração	ado:ra:tio:nem
-	-	-	adornar	-	ado:rna:re
adora	adorer	adorare	adorar	adorar	ado:ra:re
-	adulation	-	adulación	adulação	adu:la:tio:nem
-	adulateur	adulatore	adulador	adulador	adu:la:to:rem
-	adolescence	adolescenza	adolescencia	adolescência	adule:scentiam
-	aduler	adulare	adular	adular	adu:la:ri:
-	avoutre	-	adúltero	adúltero	adulterum
-	-	adulterino	adulterino	-	adulteri:num
-	adultérer	adulterare	adulterar	adulterar	adultera:re
adumbri	-	adombrare	-	-	adumbra:re
-	-	-	-	adunação	adu:na:tio:nem
adânc	-	adunco	adunco	adunco	aduncum
aduna	-	adunare	aunar	-	adu:na:re
-	-	-	adurir	-	adu:rere
-	-	-	advección	advecção	advectio:nem
-	-	-	-	ádvena	advenam
-	avenir	avvenire	avenir	avir	adveni:re
-	adverbial	avverbiale	adverbial	adverbial	adverbia:lem
-	-	-	-	adversão	adversio:nem
-	-	-	adversar	-	adversa:ri:
-	-	-	-	advertência	advertentiam
-	avertir	avvertire	advertir	advertir	advertere
-	-	-	advocación	advocação	advoca:tio:nem
-	avouer	-	abogar	-	advoca:re
-	-	avvolgere	-	-	advolvere
-	-	-	-	ádito	adytum
-	-	edicola	-	edícula	aediculam
-	-	-	edificación	edificação	aedifica:tio:nem
-	édifier	edificare	edificar	edificar	aedifica:re
-	édile	-	edil	edil	aedi:lem
-	-	-	edilidad	edilidade	aedi:lita:tem
-	-	egro	-	egro	aegrum
-	-	egiziaco	aciago	aziago	aegyptiacum
-	-	egizio	-	-	aegyptium
-	-	emulatore	-	emulador	aemula:to:rem
-	-	emulatrice	-	-	aemula:tri:cem
-	émule	emulo	émulo	émulo	aemulum
-	-	-	éneo	éneo	ae:neum
-	-	-	-	equabilidade	aequa:bilita:tem
-	égalité	-	igualdad	igualdade	aequa:lita:tem
-	-	equanime	-	-	aequanimem
-	équanimité	equanimità	ecuanimidad	equanimidade	aequanimita:tem
-	équatorial	-	-	-	aequatoria:lem
-	équilibre	equilibrio	equilibrio	equilíbrio	aequili:brium
-	-	-	equiparar	-	aequipara:re
-	-	equiparare	equiparar	equiparar	aequipera:re
-	-	equisono	-	-	aequisonum
-	-	-	-	equivalência	aequivalentiam
-	équivaloir	equivalere	equivaler	-	aequivale:re
-	-	-	-	equivocação	aequivoca:tio:nem
-	-	equivocare	equivocar	-	aequivoca:re
-	-	-	-	equóreo	aequoreum
-	-	equo	-	équo	aequum
eră	ère	era	era	era	aeram
-	-	erario	-	erário	aera:rium
-	-	-	-	éreo	aereum
-	-	-	aéreo	aéreo	a:erium
-	aéromancie	aeromanzia	aeromancía	aeromancia	a:eromanti:am
-	-	eroso	-	-	aero:sum
ruginos	érugineux	rugginoso	eruginoso	aeruginoso	aeru:gino:sum
rugină	-	ruggine	erúgine	aerugita	aeru:ginem
-	-	eschio	-	ésculo	aesculum
-	été	estate	estío	estio	aesta:tem
-	-	stimabile	-	-	aestima:bilem
-	-	-	-	estimação	aestima:tio:nem
-	-	-	-	estimativa	aestima:tiva:tem
-	estival	estivo	estío	estio	aesti:vum
etate	âge	età	edad	idade	aeta:tem
-	éther	etere	-	éter	aetherem
-	éthéré	etereo	-	etéreo	aetherium
ev	-	evo	evo	evo	aevum
-	affection	affezione	afección	afeição	affectio:nem
-	-	affetto	afecto	afeto	affectum
-	-	-	afianzar	afiançar	affidentia:re
-	affirmation	affermazione	afirmación	afirmação	affirma:tio:nem
-	affirmer	affermare	afirmar	afirmar	affirma:re
-	affliction	afflizione	aflicción	aflição	afflictio:nem
-	affliger	affliggere	afligir	afligir	affli:gere
afla	-	-	hallar	achar	affla:re
-	-	-	afluencia	afluência	affluentiam
aflui	affluer	affluire	afluir	afluir	affluere
-	-	-	áfrico	-	a:fricum
-	-	-	ágape	ágape	agape:n
-	agaric	agarico	-	agárico	agaricum
agru	aire	agro	agro	agro	agrum
-	-	argine	arce	-	aggerem
-	-	agglomerare	aglomerar	aglomerar	agglomera:re
-	agglutiner	agglutinare	-	-	agglu:tina:re
-	aggraver	aggravare	agravar	agravar	aggrava:re
-	agresser	aggredire	agredir	agredir	aggredi:
-	agrégation	-	agregación	agregação	aggregatio:nem
-	agréger	aggregare	agregar	agregar	aggrega:re
-	agilité	agilità	agilidad	agilidade	agilita:tem
-	-	-	aína	-	agi:nam
-	-	-	agitador	agitador	agita:to:rem
agitare	agiter	agitare	agitar	agitar	agita:re
-	-	-	agnación	-	agna:tio:nem
-	agnat	agnato	agnado	agnato	agna:tum
mială	agnelle	agnella	-	-	agnellam
miel	agneau	agnello	-	-	agnellum
-	-	-	añino	-	agni:num
-	-	-	-	agnição	agnitio:nem
-	-	-	agnomento	-	agno:mentum
-	-	-	-	anho	agnum
-	agir	agire	agir	agir	agere
-	-	-	-	agorapapiamentu	agoram
-	agraire	-	agrario	-	a:gra:rium
-	-	-	-	agrela	agrellum
-	agreste	agreste	agreste	agreste	agrestem
agrimensor	-	agrimensore	agrimensor	agrimensor	agri:me:nso:rem
alabastru	albâtre	alabastro	alabastro	alabastro	alabastrum
-	allègre	allegro	alegre	alegre	alacrem
-	alacrité	alacrità	alacridad	alacridade	alacrita:tem
aripă	aube	lapazza	-	aba	alapam
-	-	-	alado	-	a:la:tum
-	alouette	allodola	alondra	-	alaudam
-	alose	alosa	-	-	alausam
-	-	-	albero	alveiro	alba:rium
albi	-	-	-	-	albe:scere
-	-	-	albúgine	-	albu:ginem
-	-	albume	albúmina	-	albu:men
-	-	-	-	alburno	alburnum
-	-	-	alcedón	-	alce:dinem
-	-	alce	alce	alce	alcem
alcion	halcyon	-	alción	-	alcyonem
-	-	alea	álea	-	a:leam
-	-	algore	-	algor	algo:rem
-	aliénation	alienazione	alienación	alienação	alie:na:tio:nem
-	-	-	alienígeno	-	alie:nigenum
-	aliéner	alienare	enajenar	alhear	alie:na:re
-	-	alieno	ajeno	alheio	alie:num
-	-	-	alguien	alguém	aliquem
-	-	allacrimare	-	-	allacrima:re
alătra	-	-	-	-	alla:tra:re
-	-	alice	-	-	alle:c
aiepta	allécher	allettare	-	-	allecta:re
alegație	allégation	allegazione	alegación	alegação	alle:ga:tio:nem
alega	alléguer	allegare	alegar	alegar	allegere
-	-	allegorizzare	-	-	alle:gori:za:re
-	-	alleviare	aliviar	aliviar	allevia:re
-	-	allevare	-	-	alleva:re
-	allouer	allocare	alocar	alocar	alloca:re
-	allocution	allocuzione	alocución	alocução	allocu:tio:nem
-	-	alludere	aludir	aludir	allu:dere
-	-	-	almo	-	almum
anin	-	alno	alno	-	alnum
-	-	-	-	alimentar	alere
-	-	-	alfabeto	-	alphabe:tum
-	autel	altare	altar	altar	altarem
-	altercation	altercazione	altercación	altercação	alterca:tio:nem
-	alterquer	altercare	altercar	altercar	alterca:ri:
-	-	alternazione	alternación	-	alterna:tio:nem
-	-	-	alternar	-	alterna:re
-	-	-	alterno	-	alternum
-	-	altea	altea	alteia	althaeam
-	-	altissimo	altísimo	-	altissimum
altitudine	altitude	altitudine	altitud	altitude	altitu:dinem
-	halluciner	-	alucinar	-	a:lu:cina:ri:
-	alun	-	-	-	a:lum
-	-	alunno	alumno	aluno	alumnum
-	-	-	alveario	-	alvea:rium
albie	auge	alveo	álveo	álveo	alveum
-	-	alvo	-	-	alvum
-	-	-	amabilidad	-	ama:bilita:tem
amalgam	-	amalgama	amalgama	amálgama	amalgama
amant	amant	amante	amante	amante	amantem
-	-	amanuense	amanuense	amanuense	a:manue:nsem
amărî	amériser	amareggiare	amargar	amargar	ama:rica:re
amăreață	-	amarezza	-	-	ama:ritiem
-	amertume	amaritudine	-	-	ama:ritu:dinem
-	-	amarulento	-	-	ama:rulentum
-	-	amasio	-	-	ama:sium
amator	-	amatore	amador	amador	ama:to:rem
-	-	amatorio	amatorio	amatório	ama:to:rium
-	ambages	-	ambages	ambages	amba:gem
-	ambiguïté	ambiguità	ambigüedad	ambiguidade	ambiguita:tem
-	-	ambito	ámbito	âmbito	ambi:tum
ambii	-	ambo	ambos	ambos	ambo:s
-	ambroisie	ambrosia	-	-	ambrosiam
umbla	aller	andare	andar	andar	ambula:re
-	-	amente	amente	-	a:mentem
-	-	amenza	-	-	a:mentiam
-	-	-	-	amentar	a:menta:re
-	-	amento	amento	amento	a:mentum
-	-	-	anda	-	amitem
ametist	améthyste	ametista	amatista	-	amethystam
amică	amie	amica	amiga	amiga	ami:cam
amical	amical	amicale	amical	-	ami:ca:lem
amiciție	-	amicizia	amicicia	amicícia	ami:citiam
-	amict	amitto	-	amicto	amictum
-	amnicole	-	-	-	amnem
-	aimer	amare	amar	amar	ama:re
-	aménité	amenità	amenidad	amenidade	amoenita:tem
-	amène	ameno	ameno	ameno	amoenum
amovibil	amovible	amovibile	amover	amover	a:move:re
-	-	-	anfíbraco	-	amphibrachyn
-	amplification	-	amplificación	amplificação	amplifica:tio:nem
amplifica	amplifier	amplificare	amplificar	amplificar	amplifica:re
-	amplitude	-	-	amplidão	amplitu:dinem
amplu	ample	ampio	ancho	ancho	amplum
-	ampoule	ampolla	ampolla	-	ampullam
-	-	morchia	amurca	amurca	amurcam
migdalǎ	amygdale	amigdala	-	amígdala	amygdalum
-	-	anacronismo	-	-	anachronismum
anal	anal	anale	anal	anal	a:na:lem
-	-	analisi	análisis m	-	analysem
-	anarchie	anarchia	anarquía	anarquia	anarchiam
-	-	anatra	ánade	adem	anatem
-	-	-	-	ancípite	ancipitem
-	anémone	anemone	-	-	anemo:ne:n
-	aneth	aneto	aneto	aneto	ane:thum
-	-	angheria	-	-	angariam
-	angélique	angelico	angélico	angélico	angelicum
-	anglais	inglese	-	-	angle:nsem
-	-	-	angor	-	ango:rem
-	-	-	angular	angular	angula:rem
-	-	angoscia	angoja	-	angustiam
îngusta	-	-	angostar	-	angusta:re
îngust	anguis	angusto	angosto	angusto	angustum
-	-	-	aliento	alento	anhe:litum
-	anhéler	anelare	anhelar	-	anhe:la:re
animal	animal	animale	animal	animal	animal
-	-	-	animálculo	-	animalculum
-	animosité	-	-	-	animo:sum
-	-	animo	ánimo	animus	animum
-	anis	-	anís	-	ani:sum
anale	annal	annali	anal	anal	anna:lem
anexa	annexe	annesso	anejo	anexo	annexum
-	-	-	añejo	anelho	anniculum
-	annihilation	annichilazione	aniquilación	aniquilação	annihila:tio:nem
-	annihiler	annichilare	aniquilar	aniquilar	annihila:re
-	annone	annona	anona	-	anno:nam
-	-	annonario	-	-	anno:na:rium
-	-	annosità	-	-	anno:sita:tem
-	-	annoso	añoso	anoso	anno:sum
-	annotation	annotazione	anotación	anotação	annota:tio:nem
noaten	antenois	annotino	-	anotino	anno:tinum
anula	annuler	annullare	anular	-	annu:lla:re
-	-	noverare	-	-	annumera:re
-	annoncer	annunciare	anunciar	anunciar	annu:ntia:re
-	-	annuo	anuo	ânuo	annuum
-	-	anodino	anodino	anódino	ano:dynon
-	-	anomalo	anómalo	anómalo	ano:malon
anormal	-	-	anormal	anormal	ano:rmalum
-	anse	ansa	asa	asa	a:nsam
-	-	-	ánsar	-	a:nserem
-	-	-	-	anserino	a:nseri:num
-	-	asola	-	-	ansulam
-	-	anta	-	anta	anta:s
-	antécéder	antecedere	anteceder	anteceder	antece:dere
-	antécesseur	antecessore	antecesor	antecessor	antecesso:rem
-	-	antemurale	-	-	antemu:ra:le
-	-	antenato	-	-	antena:tum
antenă	antenne	antenna	antena	antena	antennam
-	antéposer	anteporre	anteponer	antepor	antepo:nere
-	-	-	antevenir	-	anteveni:re
-	anticiper	anticipare	anticipar	-	anticipa:re
-	-	antirrino	-	-	antirrhi:non
antiste	-	-	antístite	antístite	antistitem
-	-	antiteto	-	-	antitheton
-	-	anteco	-	-	antoecum
-	antre	antro	antro	-	antrum
-	annulaire	anulare	anular	-	a:nula:rem
anus	anus	ano	ano	ânus	a:num
-	-	-	-	ansiedade	a:nxieta:tem
-	-	-	ansiar	-	anxia:re
-	ouvrir	aprire	abrir	abrir	aperi:re
-	apex	apice	ápice	ápice	apicem
-	apier	apiario	apiario	apiário	apia:rium
-	abeille	pecchia	abeja	abelha	apiculam
-	-	appio	apio	aipo	apium
-	-	pula	-	-	a:plu:dam
apocalips	apocalypse	apocalisse	apocalipsis	apocalipse	apocalypsem
-	-	apoditerio	-	-	apodyte:rium
-	apostolat	-	-	-	apostola:tum
-	apôtre	apostolo	apóstol	apóstolo	apostolum
-	boutique	bottega	botica	botica	apothe:cam
-	apozème	-	-	-	apozema
aparat	apparat	apparato	aparato	-	appara:tum
aparent	apparent	apparente	aparente	aparente	apparentem
apărea	apparoir	apparire	aparir	aparar	appa:re:re
-	-	-	aparecer	aparecer	appa:re:scere
-	apparition	-	aparición	-	appa:ritio:nem
-	appariteur	-	-	-	appa:rito:rem
apăra	appareiller	apparare	aparar	aparar	appara:re
-	-	-	apellidar	apelidar	appellita:re
apela	appeler	appellare	apelar	apelar	appella:re
-	appendre	appendere	apender	-	appendere
-	-	appartenere	-	-	appertine:re
-	-	-	-	apetição	appeti:tio:nem
-	-	applauso	aplauso	aplauso	applausum
apune	apposer	apporre	aponer	apor	appo:nere
-	apporter	apportare	aportar	-	apporta:re
-	-	apposto	apuesto	aposto	appositum
-	-	apprendere	-	-	apprehendere
-	appréhension	apprensione	aprehensión	apreensão	apprehensio:nem
-	approbation	approvazione	aprobación	aprovação	approba:tio:nem
apropia	approcher	approcciare	-	-	appropia:re
-	appropriation	appropriazione	-	apropriação	appropria:tio:nem
-	approximer	-	-	-	approxima:re
aprig	abri	aprico	abrigo	aprico	apri:cum
-	-	-	atar	atar	apta:re
apa	eau	acqua	agua	água	aquam
-	-	acquazzone	-	-	aqua:tio:nem
-	-	-	aguador	-	aqua:to:rem
-	-	aquifoglio	-	azevinho	aquifolium
-	aquilin	aquilino	aquilino	aquilino	aquili:num
arabil	arable	arabile	arable	arável	ara:bilem
râie	araignée	aragna	araña	aranha	ara:neam
-	-	ragno	raño	-	ara:neum
arat	araire	aratro	arado	arado	ara:trum
-	arbitre	arbitrio	arbitrio	arbítrio	arbitrium
-	arbitrer	-	arbitrar	-	arbitra:ri:
-	-	-	-	arborescer	arbore:scere
arboret	-	arboreto	arboledo	arvoredo	arbore:tum
-	-	arboreo	arbóreo	arbóreo	arboreum
-	arbustif	arbustivo	-	arbustivo	arbusti:vum
-	arbouse	-	-	êrvedo	arbutum
arca	arche	arca	arca	arca	arcam
-	arcane	arcano	arcano	arcano	arcanum
-	-	arcano	arcano	arcano	arca:num
arhanghel	archange	arcangelo	arcángel	arcanjo	archangelum
-	archétype	archetipo	arquetipo	arquétipo	archetypum
-	archevêque	arcivescovo	arzobispo	arcebispo	archiepiscopum
arcar	archer	arciere	arquero	arqueiro	arcua:rium
-	ardu	arduo	arduo	árduo	arduum
-	-	areale	-	areal	a:realem
-	-	-	-	arfar	a:refacere
arinos	-	renoso	arenoso	arenoso	are:no:sum
-	-	areopagita	-	-	are:opagi:te:n
argintos	-	-	argentoso	argentoso	argento:sum
argint	argent	argento	argento	argento	argentum
-	argile	argilla	argila	argila	argillam
-	-	-	argumentoso	-	argu:mento:sum
-	arguer	-	argüir	arguir	arguere
arguție	argutie	arguzia	argucia	argúcia	argu:tiam
arete	-	ariete	ariete	aríete	arietem
-	-	-	arietar	-	arieta:re
armânt	-	armamento	-	-	arma:mentum
armar	-	armadio	armario	-	arma:rium
-	-	-	armazón	-	arma:tio:nem
armat	armé	armato	armado	armado	arma:tum
-	-	armento	-	armento	armentum
-	-	-	armígero	armígero	armigerum
-	-	-	armila	armila	armillam
-	-	armipotente	-	-	armipotentem
-	-	armisonante	-	-	armisonum
arma	armer	armare	armar	armar	arma:re
arm	ars	-	armos	-	armum
-	aromatique	aromatico	-	-	aro:maticum
-	-	arpinate	-	-	arpi:na:tem
-	arrhes	arra	arras	arras	arrham
-	-	-	arrechar	-	arrigere
-	arroger	arrogare	arrogar	arrogar	arroga:re
-	-	arsione	-	-	a:rsio:
-	armoise	artemisia	artemisia	-	artemisiam
-	articulation	-	-	-	articula:tio:nem
-	-	-	articular	-	articula:re
-	as	-	as	ás	assem
-	-	àsaro	ásaro	ásaro	asarum
-	aisselle	ascella	-	-	ascellam
-	ascendre	ascendere	ascender	ascender	ascendere
-	ascension	ascensione	ascensión	ascensão	asce:nsio:nem
-	ascenseur	-	-	-	asce:nso:rem
-	-	ascia	-	archa	asciam
-	-	ascrivere	adscribir	-	a:scri:bere
-	-	aseità	-	asseidade	ase:ita:tem
